,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Principal Manufacturing Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Manufacturing Output In Manufacturing By Industry, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 22/05/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ECONOMIC DEVELOPMENT BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
Total Manufacturing,405236,392522.1,444360.8,380220.5,300540.8,324947.7,344416.7,305741.7,259495.9,271120.1,291423.6,285431.3,288279.2,281703.3,261364.3,218566.9,254884.7,244733,230766.3,209714.3,183466.7,151574.8,142211.8,133767.5,159403.7,134182.8,122002.6,127115.8,120445.2,113973.5,101236.9,88163.3,77795.3,75113.5,71922.8,64216.6,57020.7,46562.2,37650.2,38894.3,41477.4,37593.6,36853.9,37184,32119.1
"  Food, Beverage & Tobacco",11699.7,11220.6,11880.8,10661.6,9962.9,10458.9,10157.8,9872.3,9474.1,9964.1,9607.4,9268.7,9327.9,9087.9,7907.8,7067.4,7166.2,5862.3,5312.6,5150.7,4830.8,4019.8,4069,3504.8,3501.9,3490.9,3572,3914.2,3764.4,3724.9,3564.8,3246,3116.8,3014.3,2900.3,3047,2820.1,2502.1,2799.6,2880,2800.9,2511.8,2407.3,2270.8,2135.1
  Textiles & Textile Manufactures,39.9,42.2,37.5,37,36.3,57.7,58.4,66.3,55.6,49.4,47.8,59,56.9,62.9,52.5,87.5,138.9,135.7,165.8,197.6,222,242.3,215,251.4,268.6,223.5,240.6,237.8,223.6,280.8,299,333.7,352.7,371.8,368.2,364.6,335.9,296.3,223.2,185,224.9,250.5,296,387.3,429.4
  Wearing Apparel,630.4,545.8,760.8,566.6,463.2,417.6,211.4,196.7,191.1,220.7,313.5,443.1,539.1,592.9,584.7,648,484.2,626.6,496.6,610.5,811.1,829.5,842.4,821.1,1021,833,812.5,805.7,829.6,1002.3,1248.8,1376.5,1691.5,1795.5,1780,1845.8,1739.6,1601.8,1270.8,1060.3,1123.2,972.4,966.7,970.8,923.5
"  Leather, Leather Products & Footwear",73.4,116.3,110.8,104.2,67.7,126.7,142.4,141.2,147.8,164.9,157,164.4,152.7,136,98.7,87.1,208.2,242.5,235.9,212.3,208.4,203.7,183.3,182,197.9,164.2,131.9,153.3,112.8,117.7,122.2,124.8,124.8,116.7,106.6,113,104.6,81.5,73.2,72.6,89.6,86.3,94.2,108.4,104.9
  Wood & Wood Products,312.3,379.5,415.6,326.8,243.8,254.8,260.9,290.6,290.1,285,311.5,299.2,284.9,211.7,213,232.9,267.3,228.8,249.1,249.1,263.3,243.1,248.6,231.2,275.6,243,293.7,285.2,265.8,287.2,281.7,297,299.2,309.6,364.9,411,404.8,333.1,303.6,348.7,412.8,487.2,551.5,665.7,788.9
  Paper & Paper Products,673.3,1021.4,1149,1128.9,1011.9,1061.4,1037.8,989.8,1020.6,1053.4,1074.5,1060.3,1013.4,1052.7,1095.8,986.4,1057.7,1016.9,973.4,980.7,895.8,855.5,842.2,787.8,837.8,842,832.5,967,1036.6,1073.1,965.7,868.9,816.7,883.1,827.8,770.7,711.7,600.4,444.6,414.7,403.8,365.6,352.9,328.7,296.8
  Printing & Reproduction Of Recorded Media,1152,1153.2,1172.4,1216.1,1293.3,1582.3,1604.5,1732.4,1863,2154.3,2295.8,2276.4,2395.2,2569.7,2583.3,2542,3005.3,2953.1,2923.7,2790.1,2698.9,2678.2,2616.8,2739,3016.9,2700.3,2723.5,2829.8,2784.8,2689.1,2474.2,2351.2,2176.4,1962.2,1771.1,1580.9,1356.3,1139.3,973.9,925.2,942.8,832.4,729.2,680.8,560.9
  Refined Petroleum Products,42369.5,42690.9,52611.9,34873.8,21753,38202.9,43705.1,35725.1,26793.8,32233.9,45549.2,50505.6,56882.4,55625.4,41951.6,35025,59628.9,47869,45746.3,40035.3,28010,21251.5,17706.4,17747.2,19618,13622,12760.2,14644.2,13760.6,10669.7,10914.6,11157.9,10226.3,11228.2,11401.9,8846.5,7745.7,7558.8,7041.1,11073,12506.1,13243.2,14735.2,14558.6,11684.2
