,,,,,,,,,,
Theme: Industry,,,,,,,,,,
Subject: Energy and Utilities,,,,,,,,,,
Topic: Water Sales and Prices,,,,,,,,,,
"Table Title: Water Sales, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 02/10/2025,,,,,,,,,,
"Source: MINISTRY OF SUSTAINABILITY AND THE ENVIRONMENT, PUB, SINGAPORE S NATIONAL WATER AGENCY",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Million Cubic Metres Per Year
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 
Sales Of Potable Water,517.6,509.5,506.7,501.4,501.2,500.2,495.5,499.4,517,514.7
  Domestic Use,303.9,300.2,305.9,316.5,320.7,297.6,294.2,294.8,301.4,297.1
  Non-Domestic Use,213.7,209.3,200.8,184.9,180.5,202.6,201.3,204.5,215.6,217.6
Sales Of Newater,148.3,145.1,148.2,148.9,141.1,145.5,140.5,140.2,126.9,124.8
Sales Of Industrial Water,14.3,13.7,12,11.4,13,17.9,20.6,19.9,21,25
,,,,,,,,,,
Definitions and Footnotes,,,,,,,,,,
Industrial Water:,,,,,,,,,,
"Industrial wastewater is a by-product of manufacturing processes at industrial or commercial premises. Its volume and properties are dependable on its source and other factors. With suitable treatment, industrial water can be recycled and reused as boiler or cooling tower feed water supplement, material washing, irrigation, toilet flushing, etc.",,,,,,,,,,
NEWater:,,,,,,,,,,
"NEWater is high-grade recycled water produced from treated used water that is further purified using advanced membrane technologies and ultra-violet disinfection, making it ultra-clean and safe to drink.",,,,,,,,,,
,,,,,,,,,,
Notation:,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,
Notes,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,
,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,
Date generated: 12/10/2025,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,
