,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Energy and Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Water Sales and Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Water Prices, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 02/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: MINISTRY OF SUSTAINABILITY AND THE ENVIRONMENT, PUB, SINGAPORE S NATIONAL WATER AGENCY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 
"Potable Water Price For Domestic Users, 0-40 Cubic Metres (Dollar Per Cubic Metre)",3.24,2.94,2.74,2.74,2.74,2.74,2.74,2.74,2.39,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.54,1.24,0.95,0.66
  Tariff (Dollar Per Cubic Metre),1.43,1.29,1.21,1.21,1.21,1.21,1.21,1.21,1.19,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.03,0.87,0.73,0.56
  Water Conservation Tax (Dollar),0.72,0.65,0.61,0.61,0.61,0.61,0.61,0.61,0.42,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.26,0.17,0.07,na
  Waterborne Tax (Dollar),1.09,1,0.92,0.92,0.92,0.92,0.92,0.92,0.78,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.25,0.2,0.15,0.1
  Sanitary Appliance Fee (Dollar Per Fitting),na,na,na,na,na,na,na,na,na,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
"Potable Water Price For Domestic Users, > 40 Cubic Metres (Dollar Per Cubic Metre)",4.39,3.94,3.69,3.69,3.69,3.69,3.69,3.69,3.21,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.11,1.87,1.66,1.45
  Tariff (Dollar Per Cubic Metre),1.81,1.63,1.52,1.52,1.52,1.52,1.52,1.52,1.46,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.33,1.24,1.21,1.17
  Water Conservation Tax (Dollar),1.18,1.06,0.99,0.99,0.99,0.99,0.99,0.99,0.73,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.53,0.43,0.3,0.18
  Waterborne Tax (Dollar),1.4,1.25,1.18,1.18,1.18,1.18,1.18,1.18,1.02,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.25,0.2,0.15,0.1
  Sanitary Appliance Fee (Dollar Per Fitting),na,na,na,na,na,na,na,na,na,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Potable Water Price For Non-Domestic Users (Dollar Per Cubic Metre),3.24,2.94,2.74,2.74,2.74,2.74,2.74,2.74,2.39,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.03,1.88,1.78,1.62
  Tariff (Dollar Per Cubic Metre),1.43,1.29,1.21,1.21,1.21,1.21,1.21,1.21,1.19,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
  Water Conservation Tax (Dollar),0.72,0.65,0.61,0.61,0.61,0.61,0.61,0.61,0.42,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.29,0.29,0.23
  Waterborne Tax (Dollar),1.09,1,0.92,0.92,0.92,0.92,0.92,0.92,0.78,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.42,0.32,0.22
