,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Energy and Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Electricity Generation And Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Electricity Tariff, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 10/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SP GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May ,2025 Apr ,2025 Mar ,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan 
Low Tension Supplies - Domestic (Cents Per Kilowatt Hour),27.55,27.55,27.55,27.47,27.47,27.47,28.12,28.12,28.12,28.12,28.12,28.12,29.1,29.1,29.1,29.88,29.88,29.88,29.79,29.79,29.79,29.89,29.89,29.89,28.7,28.7,28.7,27.74,27.74,27.74,27.43,27.43,27.43,28.95,28.95,28.95,29.74,29.74,29.74,30.17,30.17,30.17,27.94,27.94,27.94,25.44,25.44,25.44,24.11,24.11,24.11,23.38,23.38,23.38,22.55,22.55,22.55,20.76,20.76,20.76,21.43,21.43,21.43,19.6,19.6,19.6,23.02,23.02,23.02,24.24,24.24,24.24,23.43,23.43,23.43,24.22,24.22,24.22,22.79,22.79,22.79,23.85,23.85,23.85,24.13,24.13,24.13,23.65,23.65,23.65,22.15,22.15,22.15,21.56,21.56,21.56,20.3,20.3,20.3,20.72,20.72,20.72,21.39,21.39,21.39,20.2,20.2,20.2,19.13,19.13,19.13,19.27,19.27,19.27,17.68,17.68,17.68,19.5,19.5,19.5,20.35,20.35,20.35,22.41,22.41,22.41,20.87,20.87,20.87,23.29,23.29,23.29,25.28,25.28,25.28,25.68,25.68,25.68,25.73,25.73,25.73,25.65,25.65,25.65,26.08,26.08,26.08,25.95,25.95,25.95,26.7,26.7,26.7,26.28,26.28,26.28,27.27,27.27,27.27,28.08,28.08,28.08,28.78,28.78,28.78,27.59,27.59,27.59
Low Tension Supplies - Non-Domestic (Cents Per Kilowatt Hour),27.55,27.55,27.55,27.47,27.47,27.47,28.12,28.12,28.12,28.12,28.12,28.12,29.1,29.1,29.1,29.88,29.88,29.88,29.79,29.79,29.79,29.89,29.89,29.89,28.7,28.7,28.7,27.74,27.74,27.74,27.43,27.43,27.43,28.95,28.95,28.95,29.74,29.74,29.74,30.17,30.17,30.17,27.94,27.94,27.94,25.44,25.44,25.44,24.11,24.11,24.11,23.38,23.38,23.38,22.55,22.55,22.55,20.76,20.76,20.76,21.43,21.43,21.43,19.6,19.6,19.6,23.02,23.02,23.02,24.24,24.24,24.24,23.43,23.43,23.43,24.22,24.22,24.22,22.79,22.79,22.79,23.85,23.85,23.85,24.13,24.13,24.13,23.65,23.65,23.65,22.15,22.15,22.15,21.56,21.56,21.56,20.3,20.3,20.3,20.72,20.72,20.72,21.39,21.39,21.39,20.2,20.2,20.2,19.13,19.13,19.13,19.27,19.27,19.27,17.68,17.68,17.68,19.5,19.5,19.5,20.35,20.35,20.35,22.41,22.41,22.41,20.87,20.87,20.87,23.29,23.29,23.29,25.28,25.28,25.28,25.68,25.68,25.68,25.73,25.73,25.73,25.65,25.65,25.65,26.08,26.08,26.08,25.95,25.95,25.95,26.7,26.7,26.7,26.28,26.28,26.28,27.27,27.27,27.27,28.08,28.08,28.08,28.78,28.78,28.78,27.59,27.59,27.59
High Tension Small Supplies - Contracted Capacity Charge (Dollar Per Kilowatt Per Month),15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,15.12,15.12,15.12,14.25,14.25,14.25,13.44,13.44,13.44,12.67,12.67,12.67,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
High Tension Small Supplies - Uncontracted Capacity Charge (Dollar Per Chargeable Kilowatt Per Month),22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,22.68,22.68,22.68,21.38,21.38,21.38,20.16,20.16,20.16,19.01,19.01,19.01,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
High Tension Small Supplies - Peak Period (7.00 AM To 11.00 PM) (Cents Per Kilowatt Hour),24.6,24.6,24.6,24.46,24.46,24.46,25.45,25.45,25.45,25.16,25.16,25.16,26.46,26.46,26.46,27.05,27.05,27.05,27.31,27.31,27.31,27.44,27.44,27.44,26.98,26.98,26.98,25.13,25.13,25.13,24.77,24.77,24.77,26.37,26.37,26.37,27.17,27.17,27.17,27.81,27.81,27.81,25.71,25.71,25.71,22.77,22.77,22.77,21.24,21.24,21.24,20.44,20.44,20.44,19.54,19.54,19.54,17.88,17.88,17.88,18.63,18.63,18.63,16.52,16.52,16.52,20.51,20.51,20.51,21.76,21.76,21.76,20.85,20.85,20.85,21.74,21.74,21.74,20.15,20.15,20.15,21.4,21.4,21.4,21.71,21.71,21.71,21.27,21.27,21.27,19.56,19.56,19.56,18.88,18.88,18.88,17.47,17.47,17.47,17.94,17.94,17.94,18.68,18.68,18.68,17.27,17.27,17.27,16.07,16.07,16.07,16.22,16.22,16.22,14.5,14.5,14.5,16.59,16.59,16.59,17.4,17.4,17.4,19.72,19.72,19.72,18.2,18.2,18.2,21.05,21.05,21.05,23.22,23.22,23.22,23.67,23.67,23.67,23.75,23.75,23.75,23.67,23.67,23.67,24.17,24.17,24.17,23.98,23.98,23.98,24.81,24.81,24.81,24.59,24.59,24.59,25.72,25.72,25.72,26.65,26.65,26.65,27.43,27.43,27.43,26.34,26.34,26.34
High Tension Small Supplies - Off-Peak Period (11.00 PM To 7.00 AM) (Cents Per Kilowatt Hour),16.03,16.03,16.03,16.07,16.07,16.07,15.95,15.95,15.95,15.9,15.9,15.9,16.16,16.16,16.16,17.38,17.38,17.38,16.49,16.49,16.49,16.92,16.92,16.92,13.98,13.98,13.98,15.15,15.15,15.15,14.96,14.96,14.96,15.92,15.92,15.92,16.69,16.69,16.69,16.49,16.49,16.49,14.54,14.54,14.54,13.77,13.77,13.77,13.01,13.01,13.01,12.51,12.51,12.51,11.85,11.85,11.85,11.2,11.2,11.2,11.67,11.67,11.67,10.55,10.55,10.55,12.5,12.5,12.5,13.28,13.28,13.28,12.71,12.71,12.71,13.26,13.26,13.26,12.28,12.28,12.28,13.09,13.09,13.09,13.27,13.27,13.27,12.65,12.65,12.65,11.77,11.77,11.77,11.37,11.37,11.37,10.55,10.55,10.55,10.84,10.84,10.84,11.3,11.3,11.3,10.51,10.51,10.51,9.84,9.84,9.84,9.93,9.93,9.93,8.78,8.78,8.78,10.08,10.08,10.08,11.04,11.04,11.04,12.29,12.29,12.29,10.72,10.72,10.72,12.71,12.71,12.71,14.19,14.19,14.19,14.4,14.4,14.4,14.35,14.35,14.35,14.45,14.45,14.45,14.65,14.65,14.65,14.71,14.71,14.71,15.22,15.22,15.22,15.24,15.24,15.24,15.83,15.83,15.83,16.27,16.27,16.27,16.71,16.71,16.71,16.17,16.17,16.17
High Tension Small Supplies - Reactive Power Charge (Cent Per Chargeable Kilovolt Ampere Reactive Hour),0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
High Tension Large Supplies - Contracted Capacity Charge (Dollar Per Kilowatt Per Month),15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,15.12,15.12,15.12,14.25,14.25,14.25,13.44,13.44,13.44,12.67,12.67,12.67,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
High Tension Large Supplies - Uncontracted Capacity Charge (Dollar Per Chargeable Kilowatt Per Month),22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,22.68,22.68,22.68,21.38,21.38,21.38,20.16,20.16,20.16,19.01,19.01,19.01,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
High Tension Large Supplies - Peak Period (7.00 AM To 11.00 PM) (Cents Per Kilowatt Hour),24.38,24.38,24.38,24.24,24.24,24.24,25.23,25.23,25.23,24.94,24.94,24.94,26.24,26.24,26.24,26.83,26.83,26.83,27.09,27.09,27.09,27.22,27.22,27.22,26.76,26.76,26.76,24.91,24.91,24.91,24.55,24.55,24.55,26.15,26.15,26.15,26.95,26.95,26.95,27.59,27.59,27.59,25.49,25.49,25.49,22.55,22.55,22.55,21.02,21.02,21.02,20.22,20.22,20.22,19.32,19.32,19.32,17.66,17.66,17.66,18.41,18.41,18.41,16.3,16.3,16.3,20.29,20.29,20.29,21.54,21.54,21.54,20.63,20.63,20.63,21.52,21.52,21.52,19.93,19.93,19.93,21.18,21.18,21.18,21.49,21.49,21.49,21.05,21.05,21.05,19.34,19.34,19.34,18.66,18.66,18.66,17.25,17.25,17.25,17.72,17.72,17.72,18.46,18.46,18.46,17.05,17.05,17.05,15.85,15.85,15.85,16,16,16,14.28,14.28,14.28,16.37,16.37,16.37,17.18,17.18,17.18,19.5,19.5,19.5,17.98,17.98,17.98,20.83,20.83,20.83,23,23,23,23.45,23.45,23.45,23.53,23.53,23.53,23.45,23.45,23.45,23.95,23.95,23.95,23.76,23.76,23.76,24.59,24.59,24.59,24.37,24.37,24.37,25.5,25.5,25.5,26.43,26.43,26.43,27.21,27.21,27.21,26.12,26.12,26.12
