,,,,,,
Theme: Industry,,,,,,
Subject: Agriculture and Aquaculture,,,,,,
Topic: Food Farms,,,,,,
"Table Title: Licensed Local Food Farms, Annual",,,,,,
,,,,,,
Data last updated: 05/05/2025,,,,,,
Source: SINGAPORE FOOD AGENCY,,,,,,
,,,,,,
,,,,,,Number
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 
Number Of Licensed Local Food Farms,225,254,257,260,237,221
  Sea-Based Seafood,72,98,109,110,109,110
  Land-Based Seafood,34,33,27,27,22,15
  Vegetables,113,115,111,113,96,85
  Hen Shell Eggs,3,3,3,3,3,3
  Others,3,5,7,7,7,8
,,,,,,
Definitions and Footnotes:,,,,,,
Number Of Licensed Local Food Farms -> Others (Number):,,,,,,
"Refers to cattle, goat, frog and quail eggs farms.  From 2023, data exclude frog farms.",,,,,,
,,,,,,
Notation:,,,,,,
na   not available or not applicable,,,,,,
nec  not elsewhere classified,,,,,,
nes  not elsewhere specified,,,,,,
 -     nil or negligible or not significant,,,,,,
Notes,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,
,,,,,,
Generated by: SingStat Table Builder,,,,,,
Date generated: 12/10/2025,,,,,,
Contact: info@singstat.gov.sg,,,,,,
